details_id,Role,Industry Type,Department,Employment Type,Role Category,description,skills_required
12,Software Development - Other,Auto Components,Engineering - Software & QA,Full Time Permanent,Software Development,"Participate in white board sessions to gather customer requirements,Develop SpringBoot/Java API/microservices on Google Cloud Platform (GCP) utilizing GCP services such as Cloud Run, Cloud Spanner, Cloud Pub/Sub, and more,Perform software engineering using Test Driven Development (TDD), continuous integration and continuous deployment (CI/CD),Work in an extreme software development environment using Kanban software methodology,Work with team members to establish best practices to maximize efficiency and minimize risk.,Interact and work closely with product managers to devise solutions and break them down into incremental production-ready user stories,Identify opportunities for adopting new technologies to solve existing needs and predicting future challenges,Refactor API/microservices for simplification and efficiency,Execute API Load and Performance (LP) on API/modules developed,Develop software that is Clean Code compliant and utilize tools such as SonarQube,Perform individual development and collaborate with cross functional teams on end-to-end integration, testing and issue triage efforts.,Use DevOps tools such as Jenkins, SonarCube, CheckMarx, Fossa, and GitHub to deploy, improve and manage software,Stay current on the latest technology and contribute to the technical direction of the company while keeping a customer-centric approach,You may not check every box, or your experience may look a little different from what weve outlined, but if you think you can bring value to Ford Motor Company, we encourage you to apply!","Computer science,Software development methodologies,Interpersonal skills,GCP,TDD,Analytical,Integration testing,Agile,test driven development,JSON"
13,Software Development - Other,Auto Components,Engineering - Software & QA,Full Time Permanent,Software Development,"java,Jenkins,Hibernate,IntelliJ Idea,Eclipse,JSP,Tomcat Server,SQL,Development,Apache Tomcat,Idea,Serv","Computer science,spring boot,Core Java,Data analysis,Postgresql,SAT,Problem management,.Net,Oracle,SQL"
14,Software Development - Other,Auto Components,Engineering - Software & QA,Full Time Permanent,Software Development,"Pega DPA(PRPC) Developer 4+ years of Pega DPA/PRPC experience,Drives design and development for major components of focused solutions in Pega,Designing class structures, application frameworks, and data models.,Certified in PEGA PRPC(Pega Rules Process Commander) Pega CSA/CSSA,Complete knowledge in Case Management,Complete knowledge in creating Access Group, Work Queue and Access Role,Complete knowledge in Working on Complex flow such as Split Join, Spin Off,Designing class structures, application frameworks, and data models.,Ensures technical, functional, performance and business requirements as well as best practices as defined by the team/organization/industry,Has an advanced understanding of PEGA PRPC V7.x/8.x tools and leads development activities,Ability to Translate business requirements into design/application builds,Experience in developing Bug free quality code which maintain 90-97 Guardrail score.,Knowledge in API based development (Connect/Service APIs),Knowledge in Developing Dynamic UI controls.,Coordinating with the project team to ensure the business architecture matches the needs of the customer.","CSA,PRPC,Architecture,Focus,Pega,Management"
15,Quality Manager / Supervisor,Automobile,Quality Assurance,Full Time Permanent,Business Process Quality,"production management,production,Manufacturing Operations,Lean Manufacturing,Business Strategy,IATF Awareness,Process Improvement Initiatives,Strategic Planning,Operations Management,Manufacturing Operation,MFG,Awareness,Process improvement","TQM,SAP,Kaizen,Manufacturing process,Process planning,Quality systems,Scheduling,PFMEA,MS Office,Auditing"
16,Quality Assurance - Other,Automobile,Quality Assurance,Full Time Permanent,Quality Assurance - Other,"Performing SOX controls testing,Establish Transaction Monitoring Plan,Ensuring timely completion of transaction Quality checking as per sampling strategy.,Establish and maintain robust tracking mechanism for key indicator of the Service Delivery team to take decision,Driving customer satisfaction and quality by the use of improvement to business process,Prepare and publish monthly Quality reports,Conduct Root Cause Analysis (RCA), corrective and preventive actions (CAPA) for the identified errors,Should able to identify CTQ (critical to quality) & CTP (critical to process),Identify possible risks in Service delivery and support Delivery to prepare mitigation plan,Analyze the customer escalations reported and drive actions towards reducing the customer complaints. Reports to be published on the analysis done,Perform Analysis of internal errors, and publish the report with the internal stakeholders highlighting the findings, trends, action points from internal audits",Manager Quality Assurance
17,Logistics Manager,Automobile,Procurement & Supply Chain,Full Time Permanent,SCM & Logistics,"Supervision of orders send by dealers/Sales team on daily basis,Coordinate with sales team to get the orders as directive from Zonal/Regional Sales Manager,Coordinate with Plant Logistics Team to invoice Stock Transfer Orders and Dealer orders where funds and stocks are available.,Monitor Invoice to delivery performance of vehicles invoiced from plant,Coordinate with insurance companies and finance team to settle dealers claim as per defined timeline,Coordinate with insurance company to settle intransit accident/damage claims raised by dealers,Dealership visit on monthly basis",Logistics
19,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"2-3 years front end web development experience (JavaScript, jQuery, CSS, HTML) coupled with solid experience implementing web and advertising analytics,Experience with Google Marketing Platform - Google Tag Manager, or other Tag Management tools,Web Analytics understanding (Most important KPIs),Deep understanding of JavaScript events and jQuery custom events necessary, and best practices for JavaScript coding,Debugging techniques and tools for front end web development,Project Tracking software experience like Jira, etc.","css,HTML,javascript,jquery,Google Marketing,google tag manager,UI Development"
20,Audit Manager,Automobile,Finance & Accounting,Full Time Permanent,Audit & Control,Complete the audit assignment under the guidance of lead auditor as per the Audit program,"Lead Auditor,Manager Internal Audit,Translation,Excel,Auditing"
21,Materials Manager,Automobile,Procurement & Supply Chain,Full Time Permanent,Stores & Material Management,"This position is responsible for carrying out activities related to Purchase related function for specific commodity like Commercial settlements activities pertaining to new projects / existing projects like floating RFQ, quotation comparison, ZBC, logistics & transportation sign-off, budget confirmation from PPM, comparative study of parts & tool cost etc,Provide inputs for felicitating Make vs Buy decisions, participate and explore cost reduction through import substitution, benchmarking & VAVE activities; completing the activities related to building strategic supplier base & Supplier cost audits, MSA","Costing,Purchase management,Cost reduction,Employee engagement,Supplier management,Budgeting,RFQ,MS Office,Techno-commercial,Logistics"
22,Supply Chain Manager,Automobile,Procurement & Supply Chain,Full Time Permanent,SCM & Logistics,"The position is responsible for execution of scheduling & procurement basis of production plan, in order to ensure timely availability of parts in the plant within company guidelines and policies","Procurement,Change management,PPC,Supply chain management,Manager SCM,Performance management,Cost reduction,Scheduling,Risk management,SRM"
23,Materials Manager,Automobile,Procurement & Supply Chain,Full Time Permanent,Stores & Material Management,"This position is responsible for carrying out activities related to Purchase related function for specific commodity like Commercial settlements activities pertaining to new projects / existing projects like floating RFQ, quotation comparison, ZBC, logistics & transportation sign-off, budget confirmation from PPM, comparative study of parts & tool cost etc,Provide inputs for felicitating Make vs Buy decisions, participate and explore cost reduction through import substitution, benchmarking & VAVE activities; completing the activities related to building strategic supplier base & Supplier cost audits, MSA","Costing,Purchase management,Cost reduction,Employee engagement,Supplier management,Budgeting,RFQ,MS Office,Techno-commercial,Logistics"
24,Materials Manager,Automobile,Procurement & Supply Chain,Full Time Permanent,Stores & Material Management,"This position is responsible for carrying out activities related to Purchase related function for specific commodity like Commercial settlements activities pertaining to new projects / existing projects like floating RFQ, quotation comparison, ZBC, logistics & transportation sign-off, budget confirmation from PPM, comparative study of parts & tool cost etc,Provide inputs for felicitating Make vs Buy decisions, participate and explore cost reduction through import substitution, benchmarking & VAVE activities; completing the activities related to building strategic supplier base & Supplier cost audits, MSA","Powertrain,Costing,Purchase management,Cost reduction,Employee engagement,Supplier management,RFQ,MS Office,Techno-commercial,Logistics"
25,Production Manager / Supervisor,Automobile,Production Manufacturing & Engineering,Full Time Permanent,Operations Maintenance & Support,"Process Issues / Quality issues Resolution related to crank shaft machining,Part defect identification and root cause analysis,New model Machining set up , line setup and ramp up,Capacity improvements through debottlenecking and improvements,Rejection system-implementation of zero rejection concept,Revenue cost reduction -initiatives for implementation and practice,Improvement idea generation and implementation,Interaction with all support functions and concern resolution with the help of CFT,Generate Safety working culture,Develop improvement culture through SDT,Knowledge of quality systems and adherence,Implementation of TPM in Machining,Driving Tool cost reduction, Power cost Reduction & productivity improvement projects Laisoning with Manufacturing and Quality for,DWM issues and resolution,TPM, 5 S , & system knowledge","Drilling,TPM,Cutting tools,Powertrain,Manufacturing process,Conflict management,Quality systems,CNC programming,PFMEA,IMS"
26,Logistics Manager,Automobile,Procurement & Supply Chain,Full Time Permanent,SCM & Logistics,"This position is responsible for carrying out activities related to Purchase related function for specific commodity like Commercial settlements activities pertaining to new projects / existing projects like floating RFQ, quotation comparison, ZBC, logistics & transportation sign-off, budget confirmation from PPM, comparative study of parts & tool cost etc,Provide inputs for felicitating Make vs Buy decisions, participate and explore cost reduction through import substitution, benchmarking & VAVE activities; completing the activities related to building strategic supplier base & Supplier cost audits, MSA","Costing,Purchase management,Cost reduction,Employee engagement,Supplier management,Budgeting,RFQ,MS Office,Techno-commercial,Logistics"
27,Territory Sales Manager (B2C),Medical Services / Hospital,Sales & Business Development,Full Time Permanent,Retail & B2C Sales,"The territory manager will be responsible for business generation from doctors and hospitals, within the specified territory and to outsmart competition through market penetration and ensuring revenue growth from existing and new network of clients","Analytical skills,Sales strategy,Area sales,Technical sales,Healthcare,Sales Executive,Market penetration,Territory sales,Operations,Service quality"
28,Procurement Analyst,Auto Components,Procurement & Supply Chain,Full Time Permanent,Procurement & Purchase,"About us,Careers,Employer home,Sitemap","Production management,Supply chain management,Sales planning,Prototype,Manufacturing engineering,Production control,Packaging,Macros,Logistics,Capacity planning"
29,Product Manager - Other,Auto Components,Product Management,Full Time Permanent,Product Management - Other,"The Oracle HCM Reporting & Analytics Product Manager will be responsible for managing the reporting and analytics team within the organization,This role will require the candidate to have a strong background in Oracle HCM, data analytics, and reporting,The successful candidate will be responsible for managing the Core HR, Talent, Recruiting, and Learning modules data reporting using OTBI & BIP,The ideal candidate will have experience managing a team of Oracle HCM reporting & analytics professionals,The Oracle HCM Reporting & Analytics Product Manager will collaborate with the business units to understand their data reporting requirements and translate them into report specifications,This role will require the candidate to develop and maintain reports for Core HR, Talent, Recruiting, and Learning modules using OTBI & BIP,The candidate will be responsible for monitoring report performance and making recommendations for improvements,The candidate will ensure data accuracy and consistency in all reports,The candidate will stay up-to-date with the latest Oracle HCM reporting and analytics tools and techniques,Masters degree in Computer Science, Information Systems or a related field,Minimum of 5 years of experience in Oracle HCM reporting & analytics,Strong knowledge of Core HR, Talent, Recruiting, and Learning modules,Proficiency in OTBI & BIP reporting tools,Experience managing a team of Oracle HCM reporting & analytics professionals,Excellent communication and interpersonal skills.,Ability to work independently and manage multiple priorities.,Ability to analyze complex data and translate it into actionable insights.,Strong project management skills.,Ability to work collaboratively with cross-functional teams.,Manage the Oracle HCM Reporting & Analytics team and oversee the development and maintenance of reports using OTBI & BIP.,Collaborate with the business units to understand their data reporting requirements and translate them into report specifications.,Develop and maintain reports for Core HR, Talent, Recruiting, and,Learning modules using OTBI & BIP.,Monitor report performance and make recommendations for improvements.,Ensure data accuracy and consistency in all reports.,Stay up-to-date with the latest Oracle HCM reporting and analytics tools and techniques.,Train end-users on report usage and best practices.,Manage relationships with internal stakeholders to promote adoption of Oracle HCM reporting & analytics.,Develop and implement metrics to track the effectiveness and usage of reports.,Collaborate with the IT team to ensure data integrity and security.,Develop and maintain project timelines and manage project resources.,Provide technical guidance and support to the Oracle HCM reporting & analytics team.,Develop and implement policies and procedures to ensure efficient and effective report development and maintenance.","Computer science,Usage,HCM,data reporting,data integrity,Core HR,Oracle,Analytics,Monitoring,Reporting tools"
31,Data Science & Machine Learning - Other,Auto Components,Data Science & Analytics,Full Time Permanent,Data Science & Machine Learning,"Financial analysis - Position requires good understanding and application of Finance concepts in order to analyze the Income Statement in depth,Communication skills - Position requires handling multiple queries from the connected stakeholders and requires good communication skills,Accounting knowledge - Position requires basic Accounting knowledge to understand the month close process; Knowledge of Accounting systems Profit reporting systems is preferable","Analyst,Counsellor,Financial analysis,Accounting,Transfer pricing,Business planning,Management,Budgeting,Taxation,Forecasting"
33,Other,IT Services & Consulting,Other,Full Time Permanent,Other,"Access management,Consulting,sailpoint,Troubleshooting,Identity management,Workflow,J2Ee,Delivery","IAM,Pingfederate"
38,Accountant / Accounts Executive,Retail,Finance & Accounting,Full Time Permanent,Accounting & Taxation,"Students pursuing 11th or Secondary / 10th pass level,Minimum 16 years of age,Valid Aadhar (National Identity) card","Training,Networking,Customer service,Service quality"
39,IT Infrastructure Services - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Infrastructure Services,"Should possess good RPA skillset skills RPA Methodology, RPA life cycle, Best practice, RPA tool Blue Prism (Hands-on project experience)","Blueprism Developer,AD01,Blue Prism,RPA Developer"
40,IT Infrastructure Services - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Infrastructure Services,"Should be able to write/understand basic SQL Select,Should have experience in support and maintenance of production robots,Analyze and Design solutions in accordance with design principles and create a Design document and Test cases as per RPA recommendation,Should be able to work independently end to end, right from automation feasibility, Design, coding, testing and deployment on automating the Process in the Automation Tool • Development and Coding of RPA process as per the requirements using RPA (Ui Path), RPA++ best practices,Solve issues that arise in day-to-day running of RPA processes and provide timely support and solutions as required,Support the operational teams during the UAT and Production rollout phase","Orchaestrator,Ui ARD,Studio,Uipath,Re Framework,rpa uipath developer"
44,IT Support - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Support,"About us,Careers,Employer home,Sitemap","Mainframes,Zos"
47,Technical Consultant,IT Services & Consulting,Consulting,Full Time Permanent,IT Consulting,"About us,Careers,Employer home,Sitemap","SAP CRM,WEB UI,WebUi,BAPI,software configuration management systems,BADI,ABAP,Framework,RFC"
48,Technical Lead,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Working within a globally diverse team across different time zones.,Working closely with technology and business teams within an Agile/Scrum model,Understanding Sprint requirements and participating in sprint planning.,Driving assigned tasks based on the direction given by your project lead.,Ensuring complete adherence to defined architecture and design.,Making sure that the written code follows all the coding and security standards.,Performing unit testing to achieve 80% of code coverage.,Preparing or modifying low-level design document, impact analysis document based on requirement changes.,Following all SCRUM rituals and delivering against all planned activities.,Participating in / leading design whiteboarding and creation of solution architecture.,Performing code reviews for junior developers and ensuring coding standards have been followed.,Actively participating in customer calls and effectively communicating technical expectations to junior developers,Co-ordinating with business analysts to make sure that sprint backlogs are updated.",".net core,Asp.Net Core,angular,Azure Cloud,design patterns,ASP.Net,Devops,microservices"
49,Full Stack Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Working within a globally diverse team across different time zones.,Driving assigned tasks based on the direction given by your project lead.,Ensuring complete adherence to defined architecture and design.,Making sure that the written code follows all the coding and security standards.,Performing unit testing to achieve 80% of code coverage.,Preparing or modifying low-level design document, impact analysis document based on requirement changes.,Following all SCRUM rituals and delivering against all planned activities.,Participating in / leading design whiteboarding and creation of solution architecture.,Performing code reviews for junior developers and ensuring coding standards have been followed.",".net core,Asp.Net Core,angular,design patterns,Devops,microservices"
61,Other,IT Services & Consulting,Other,Full Time Permanent,Other,"c++,Windows OS,windbg,Hiring,Development,Operating systems,Microsoft Windows",c++
62,Other,IT Services & Consulting,Other,Full Time Permanent,Other,"Cloud Security,on-Prem to cloud,Network Security,Cloud Migration,cloud,Checkpoint,Nsx,palo alto,on-prem,Security","Azure,Prisma Access,Palo Alto Firewall,Fortinet"
63,Other,IT Services & Consulting,Other,Full Time Permanent,Other,"ServiceNow and BMC Remedy ITSM.,Experience in Requirements understanding and analyzing.,Expertise in development: Business Rules, Script Includes, Client Scripts, Scheduled Jobs, UI Policies, UI Actions, Service Catalogs, Glide Scripts, Workflows, Background Scripting, Tables and Application creation, Glide Records, Inbound actions, Mail Notifications, Incident, Problem, Change Management, SLM, CMDB.,Experience in technical implementation of Incident Management, Problem Management, Change Management, CMDB, Asset management and Service Catalog.,Good knowledge and understanding of ITIL processes.,Experience in creation and customization of workflows.,Experience in Controlling System Access & Data Security.,Experience working on Import set and Transform map.,Experience in system upgrades.,Experience in Unit testing & Documentation.,Fundamentals of HRSD, Flow designer, ITOM.,Experience in BMC Remedy ITSM applications (i.e. Incident, problem, Change and Asset) Implementation, Customization, Integration and Support.,Experience in BMC Remedy Administration activities.","Bmc Remedy,CMDB,ITSM,Servicenow Development"
71,Technical Architect,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Should have hands-on experience for at least  4 years in architecting technical solutions using Guidewire out of minimum 15 years of Industry experience.,Should collaborate with Sales and Delivery teams for Proposal creation and  solving technical issues during execution.,Should be able to front end technical discussion with customer technical architects and leads,Should have been part of 3 or more Guidewire Implementations and at least one in     Guidewire Cloud Platform,Should have working experience in Guidewire Cloud Platform and doing technical proof of Concepts in cloud sandbox,Worked on upgrade project to Guidewire Cloud Platform is preferred ( v8/v9/v10 to GWCP),Should be Guidewire Certified.","guidewire cloud,guidewire implementation,Guidewire,architecture"
72,Other,Software Product,Other,Full Time Permanent,Other,"Understanding client requirements & Client selection process,Campus Coordination,Conducting written/online test & Evaluation,Interview Coordination for activities,Maintaining the tracker for all appeared candidates along with the status.,Decision Making and problem solving skills Resolving issues (If any) on the campus.,Collection of college data and insights of the campus hiring,Publishing report on the activity and reporting back to manager,Adherence to the processes followed and SLAs,Assisting the manager in executing assessments for other CareerNet/HirePro programs in the other region","communication skills,Presentation Skills,Management Skills,Project Coordination,Coordination Skills,Leadership Skills"
73,Technical Consultant,IT Services & Consulting,Consulting,Full Time Permanent,IT Consulting,"Must have 6 Year s extensive experience in SAP GRC and R 3 security,Responsible for integration of SoD conform processes and authorization validation,Should have experience on security area related to user and role design administration and analysis,Design and implement new authorization concepts along with business departments and IT stake holders,Must have experience on SAP SU25 activity,Must have extensive experience in security issue troubleshooting and should be able to handle major incidents and day to day issues independently,Should have experience on system activity Planning and propose best practices Must have experience on GRC BW BO Fiori Hana support experience Should have experience on project proposals,Should be able to work on the queries of Client and new requirements and provide Solution Meets or exceeds all task deadlines assigned Obtains clear and concise requirements from senior management user community,Flexible to work in 24 7 Environment Competency requirement SME In depth knowledge and experience from setting up and operating SAP Idm T,asks to be performed by SME SAP IdM Development Develop new functionality upon request Create reports accessible from Idm UI Create Ad hoc reports SAP IdM Monitoring Checking system components Checking runtime results Investigate and fix failing jobs Investigate and fix failing assignments,Check consistency between Idm and backend systems SAP Idm Maintenance SP Upgrades","BW,SAP SU25,Fiori,SAP GRC,BO,SAP Fiori,sap basis,sap security,sod"
81,IT Support - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Support,"About us,Careers,Employer home,Sitemap",".NET,React"
94,Database Architect / Designer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,DBA / Data warehousing,"Gather requirements from clients,Analyze requirements and highlight gaps/inconsistencies in the requirements to the client,Develop applications using QlikView and Qlik Sense to deliver the agreed requirements,Present dashboard to end users to demonstrate features and the story line,Experience:,5-8 years of relevant experience in QlikView, SQL, Qlik sense, Nprinting, Dashboarding, Visualization, Storyboarding, Presentation,Detail-oriented person with strong analytical and problem-solving skills,Excellent written and oral business communication skills   Can-do attitude,Willingness to work with a geographically distributed team structure in an environment that will be extremely fast-paced and challenging,Ability to multi-task and work on multiple projects while under pressure","Business communication,Storyboarding,qlik sense,Analytical,Focus,Information Architect,QlikView,SQL"
95,Associate / Consultant,IT Services & Consulting,Consulting,Full Time Permanent,Management Consulting,"Gather requirements from clients,Analyze requirements and highlight gaps/inconsistencies in the requirements to the client,Develop applications using Bi tools (Qlik Sense/ PBI/Tableau),Present dashboard to end users to demonstrate features and the story line","Business communication,tableau,Storyboarding,qlik sense,Analytical,Focus,QlikView,SQL"
112,Chief Legal Officer (CLO),IT Services & Consulting,Legal & Regulatory,Full Time Permanent,Legal Operations,"Good knowledge of Company Law and SEBI Regulations,Assisting in routine procedural requirements under the Companies Act, 2013 (such as conduct of Board, Committee and shareholder meetings) and other statutory obligations of the Company and its group companies,Organising Board and General Meetings of the Company and its subsidiaries in India & abroad.,Assisting in non-routine activities under the abovementioned legislations such as compounding application, approval applications, etc.,Maintenance and updating of various registers/records under Companies Act (both India & global),Assisting in the process of ESOP management for the parent entity and at group level.,Assist in with filings under Companies Act, 2013 and reporting under FEMA such as ESOP grant reporting, FC-TRS, FC-GPR, DI reporting, FLA, SDS, ODI reporting etc.,Assisting in incorporation of Companies in India and abroad.,Managing corporate restructuring in the Company and within the group;,Handling Annual filing and related compliances of the Company and the group.,Managing Corporate Action relating filings with depositories, registrar and share transfer agent for shares held in demat and related matters.,Liaising with various regulatory authorities and external stakeholders","Company Secretary,Interpersonal skills,Demat,Analytical,Registrar,Corporate,Company law,Management,Research,Corporate restructuring"
113,Gynecologist,Medical Services / Hospital,Healthcare & Life Sciences,Full Time Permanent,Doctor,"About us,Careers,Employer home,Sitemap","gynecology,gynaecologist,Infertility,Ivf,Obstetrics,Ultrasound,Obstetrics And Gynaecology"
115,Business Analyst,IT Services & Consulting,Data Science & Analytics,Full Time Permanent,Business Intelligence & Analytics,"Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats,Construct workflow charts and diagrams; studying system capabilities in relation to the business requirements and writing specifications,Improve the services delivered by the IAM System by studying current practices and designing modifications,Recommend controls by identifying problems; writing improved procedures both for the delivery of the IAM Service and the connected applications and systems,Monitor compliance progress by tracking activity; resolving problems; publishing progress reports; recommending actions to the business,Maintain stakeholders confidence and protect operations by keeping information confidential,Prepare technical reports by collecting, analyzing and summarizing information and trends across the IAM Service and for connected system specifically,Contribute to team effort by accomplishing related results as needed,Validate resource requirements and develop cost estimate models for connecting new applications and maintain service levels for already connected systems,Conduct and coordinate financial, product, market, operational and related research to support strategic and business planning within the various departments and programs of the client group,Perform daily, weekly and monthly reviews and analyses of current processes using operational metrics and reports,Understand and communicate the financial and operational impact of any changes,Suggest changes to senior management using analytics to support your recommendations. Actively participate in the implementation of approved changes,Create informative, actionable and repeatable reporting that highlights relevant business trends and opportunities for improvement,Conduct insightful, ad hoc analyses to investigate ongoing or one-time operational issues","Identity Access Management,User Acceptance Test,IAM System,Business Analysis,Ad hoc analyses,User acceptance testing"
